item,brand,category
193,302,3
194,302,3
195,398,3
196,398,3
197,398,0
198,398,3
199,2422,0
200,2315,3
201,2315,3
202,2143,0
203,2143,3
204,2143,3
205,2143,3
206,2143,0
207,2143,0
208,2143,3
209,896,0
210,1498,0
211,302,0
212,1116,3
213,1116,0
214,1116,0
215,1116,0
216,1116,0
217,1116,0
218,1116,0
219,1116,0
220,1116,0
221,1116,0
222,1116,0
223,1116,0
224,1116,0
225,1116,0
226,1116,0
227,1116,0
228,1116,0
229,1116,0
230,1116,0
231,1116,0
232,1116,0
233,1116,0
234,1116,0
235,1116,0
236,1116,0
237,1116,0
238,1116,0
239,1116,0
240,2559,3
241,1544,0
242,2270,0
243,2270,0
244,603,3
245,603,3
246,1515,3
247,1795,0
248,14,0
249,2315,0
250,2315,0
251,2315,0
252,2315,0
253,2315,0
254,2143,3
255,2143,3
256,2143,3
257,2143,3
258,2143,3
259,896,0
260,1392,3
261,1578,3
262,597,3
263,597,3
264,2272,3
265,953,0
266,1392,3
267,2007,8
268,2076,1
269,2103,8
270,896,0
271,2143,0
272,2143,3
273,398,3
274,398,0
275,400,3
276,400,3
277,302,3
278,1578,3
279,1445,3
280,359,7
281,359,3
282,480,1
283,480,1
284,480,1
285,480,1
286,1621,1
287,2052,3
288,2291,8
289,2229,3
290,1479,0
291,1916,3
292,1506,3
293,1146,3
294,2103,1
295,2103,8
296,1498,0
297,1301,6
298,1621,1
299,226,1
300,252,7
301,252,7
302,1378,0
303,507,0
304,535,0
305,535,8
306,536,8
307,1479,6
308,1479,6
309,1745,0
310,2060,1
311,2121,0
312,2208,7
313,597,3
314,359,7
315,498,1
316,1578,3
317,2229,3
318,2229,3
319,1929,3
320,480,1
321,208,6
322,480,1
323,480,1
324,1660,1
325,2027,1
326,1985,1
327,2103,6
328,1621,1
329,398,0
330,398,0
331,2315,3
332,1745,1
333,480,1
334,480,1
335,2229,3
336,2229,3
337,1382,3
338,1382,3
339,1382,3
340,1745,8
341,603,3
342,1745,0
343,398,3
344,398,0
345,1382,3
346,1498,0
347,1479,0
348,1479,0
349,2032,6
350,2032,6
351,2229,0
352,1730,3
353,1498,0
354,2143,0
355,14,3
356,597,3
357,1274,3
358,2270,0
359,480,1
360,1578,3
361,2143,3
362,2103,6
363,2143,0
364,97,0
365,97,0
366,2270,0
367,2103,8
368,1858,0
369,106,3
370,498,1
371,498,1
372,498,1
373,498,1
374,1553,3
375,536,6
376,1544,0
377,106,3
378,302,3
379,1806,7
380,2103,6
381,2441,1
382,1479,6
383,2103,0
384,2103,6
385,2103,6
386,1282,3
387,985,5
388,1392,3
389,2315,0
390,1274,3
391,2285,1
392,58,0
393,2032,3
394,1621,1
395,480,1
396,2422,0
397,1297,0
398,2053,1
399,480,1
400,480,1
401,480,1
402,480,1
403,480,1
404,480,1
405,480,1
406,480,1
407,480,1
408,695,1
409,695,1
410,695,1
411,1151,1
412,1829,1
413,1829,1
414,1075,1
415,1621,1
416,1119,1
417,1660,1
418,1119,1
419,58,0
420,1745,6
421,2406,1
422,2017,2
423,2270,0
424,480,1
425,1985,1
426,1985,1
427,653,1
428,2285,1
429,2238,1
430,2474,1
431,1516,8
432,2365,0
433,1843,7
434,1730,3
435,2238,1
436,1858,0
437,1858,0
438,2489,0
439,1985,1
440,252,7
441,177,3
442,1382,3
443,480,1
444,480,1
445,480,1
446,1761,1
447,1761,1
448,2143,3
449,214,0
450,2194,1
451,2194,1
452,2194,1
453,1498,0
454,2239,1
455,1621,3
456,1498,0
457,1037,8
458,402,3
459,175,3
460,480,1
461,1743,1
462,1219,0
463,6,0
464,951,0
465,2315,0
466,2315,0
467,14,3
468,2242,3
469,2315,0
470,1164,3
471,1685,1
472,2258,1
473,938,1
474,2143,3
475,480,1
476,398,3
477,1516,8
478,1223,2
479,2229,3
480,1730,3
481,1578,3
482,162,3
483,293,0
484,293,0
485,1146,3
486,229,1
487,229,1
488,231,1
489,229,1
490,229,1
491,1621,1
492,2242,3
493,2239,1
494,1578,3
495,2076,1
496,1199,3
497,480,1
498,127,0
499,938,1
500,480,1
501,480,1
502,2103,3
503,2052,0
504,175,8
505,951,0
506,951,0
507,1382,3
508,1086,3
509,2143,0
510,2143,0
511,1086,3
512,1761,1
513,1761,1
514,1761,1
515,790,6
516,1382,3
517,145,3
518,1981,0
519,2143,3
520,1695,7
521,2143,3
522,1211,6
523,302,0
524,2315,3
525,398,0
526,603,3
527,1668,1
528,1668,1
529,498,1
530,951,9
531,252,7
532,489,0
533,1479,8
534,2103,1
535,1398,1
536,404,0
537,1795,0
538,1761,1
539,1621,1
540,1621,1
541,480,1
542,1621,1
543,1621,1
544,1621,1
545,2143,0
546,1776,3
547,1268,1
548,1498,0
549,2143,3
550,1007,1
551,2032,6
552,2540,7
553,2006,3
554,1146,3
555,2006,3
556,1382,3
557,1082,3
558,2194,1
559,2234,3
560,1382,3
561,2032,6
562,2032,6
563,2032,6
564,1859,0
565,1774,0
566,480,1
567,2242,3
568,1301,6
569,2422,0
570,2422,0
571,2422,0
572,2422,0
573,398,0
574,1781,1
575,1498,0
576,1553,3
577,2143,3
578,1516,8
579,2315,0
580,2315,0
581,2076,1
582,1660,1
583,1795,3
584,2540,7
585,2540,7
586,2540,7
587,302,0
588,1621,1
589,1660,1
590,302,0
591,2023,12
592,263,2
593,1745,1
594,2143,0
595,2017,2
596,1772,11
597,2328,0
598,2103,8
599,2422,0
600,2239,1
601,2239,1
602,302,3
603,1843,2
604,1843,2
605,2103,1
606,2410,3
607,398,0
608,398,0
609,459,0
610,459,0
611,2410,3
612,498,1
613,498,1
614,1514,0
615,2505,0
616,2074,9
617,1746,1
618,1284,3
619,1516,8
620,2242,3
621,293,0
622,1843,7
623,1515,3
624,1398,1
625,536,11
626,212,7
627,828,2
628,2143,3
629,1078,3
630,2578,3
631,1366,0
632,2578,3
633,480,1
634,1578,3
635,1578,3
636,302,0
637,393,3
638,1719,3
639,2106,2
640,465,0
641,404,0
642,1505,2
643,1505,2
644,1505,2
645,1505,2
646,1505,2
647,1505,2
648,1505,2
649,1505,2
650,1515,3
651,1515,3
652,2761,0
653,208,6
654,2315,3
655,2581,1
656,2076,1
657,602,0
658,602,0
659,602,0
660,1621,1
661,2767,0
662,398,0
663,2047,7
664,2013,1
665,2076,1
666,2076,1
667,551,0
668,2476,3
669,1274,3
670,2362,6
671,2143,0
672,2143,3
673,457,0
674,398,0
675,398,0
676,398,0
677,2103,6
678,333,3
679,1274,3
680,1382,3
681,906,0
682,1211,6
683,1761,1
684,2103,1
685,588,3
686,2103,1
687,398,0
688,1479,0
689,1711,2
690,400,0
691,398,3
692,398,0
693,398,0
694,398,0
695,2406,1
696,1772,0
697,457,3
698,398,0
699,398,3
700,398,3
701,1745,0
702,2229,3
703,638,0
704,1753,0
705,1805,7
706,813,0
707,2422,0
708,1806,7
709,597,3
710,6,0
711,1202,0
712,1753,0
713,393,0
714,836,0
715,1753,0
716,1892,0
717,1282,3
718,175,8
719,58,3
720,597,3
721,1698,1
722,453,3
723,453,3
724,1761,1
725,1392,3
726,1392,3
727,804,11
728,1392,3
729,263,2
730,588,3
731,2315,0
732,1515,9
733,1392,3
734,1392,3
735,1730,3
736,1698,1
737,480,1
738,480,1
739,480,1
740,480,1
741,480,1
742,480,1
743,1519,9
744,729,9
745,603,3
746,301,6
747,175,8
748,175,8
749,1992,3
750,2103,0
751,359,7
752,1753,0
753,1753,0
754,1753,0
755,833,3
756,398,3
757,459,3
758,1185,3
759,1505,2
760,951,9
761,951,9
762,2143,0
763,828,2
764,828,2
765,828,2
766,1392,0
767,2422,0
768,951,0
769,2103,6
770,301,6
771,2089,0
772,2089,0
773,2006,3
774,2006,3
775,2006,3
776,2006,3
777,2006,3
778,2006,3
779,1173,0
780,1621,1
781,480,1
782,2239,1
783,162,3
784,2143,3
785,2143,0
786,2021,3
787,1263,0
788,1608,0
789,2707,8
790,2032,6
791,915,7
792,492,1
793,1735,0
794,2418,0
795,2485,0
796,1843,7
797,302,3
798,1795,0
799,1301,6
800,2384,0
801,302,0
802,1112,9
803,790,6
804,2505,3
805,1032,0
806,804,0
807,588,3
808,2608,6
809,1263,8
810,393,0
811,2083,0
812,2006,3
813,1292,3
814,1392,0
815,210,7
816,2767,0
817,1730,3
818,1282,3
819,302,0
820,1762,1
821,2103,6
822,1334,0
823,598,0
824,2382,0
825,1662,11
826,171,1
827,1844,0
828,2153,1
829,2006,3
830,2017,2
831,1843,1
832,1843,2
833,1843,2
834,1843,2
835,985,5
836,985,5
837,2422,0
838,2422,0
839,1621,1
840,1382,3
841,459,0
842,459,0
843,459,0
844,2270,0
845,2103,6
846,2103,6
847,746,0
848,1392,3
849,1280,6
850,1464,0
851,1663,3
852,1498,0
853,1063,3
854,1472,1
855,2473,3
856,480,1
857,2032,6
858,2032,6
859,1772,8
860,2143,3
861,1392,0
862,2229,3
863,480,1
864,181,0
865,2053,1
866,2053,1
867,2053,1
868,1910,1
869,685,0
870,498,1
871,498,1
872,498,1
873,498,1
874,1992,3
875,1311,0
876,2559,1
877,1843,7
878,480,1
879,480,1
880,2239,1
881,295,2
882,1505,2
883,1505,2
884,1398,1
885,1772,0
886,2032,6
887,603,3
888,480,1
889,480,1
890,175,8
891,175,3
892,182,3
893,2197,0
894,1392,3
895,302,3
896,2278,3
897,1643,0
898,1090,1
899,815,14
900,712,7
901,2315,3
902,1359,0
903,1772,6
904,1359,0
905,2006,3
906,547,3
907,2008,0
908,2250,0
909,2103,1
910,303,2
911,1660,1
912,1392,0
913,1910,1
914,1069,3
915,58,3
916,598,3
917,263,2
918,203,0
919,2151,1
920,587,8
921,1812,2
922,1621,1
923,480,1
924,2103,1
925,1621,1
926,182,3
927,1858,3
928,1463,0
929,560,3
930,690,0
931,1553,3
932,1498,0
933,1392,3
934,480,1
935,2422,0
936,588,3
937,560,3
938,540,0
939,2359,6
940,2278,3
941,2006,3
942,2197,0
943,2197,0
944,2197,0
945,2143,3
946,398,0
947,685,0
948,689,2
949,1392,3
950,689,2
951,1398,1
952,1445,3
953,1212,3
954,588,3
955,1859,0
956,1392,3
957,1720,0
958,489,3
959,2422,0
960,2007,8
961,1515,3
962,1445,3
963,1886,0
964,2143,0
965,1885,1
966,1479,0
967,1462,1
968,1784,0
969,175,8
970,175,8
971,175,8
972,2103,11
973,712,7
974,985,5
975,1515,3
976,1515,3
977,1515,3
978,1515,3
979,393,0
980,638,3
981,2006,3
982,1308,0
983,2315,3
984,2315,3
985,1722,1
986,1116,0
987,64,7
988,985,5
989,1106,1
990,2053,1
991,1992,3
992,2017,0
993,398,0
994,2053,1
995,1759,0
996,2077,11
997,1722,1
998,1722,1
999,1795,0
1000,480,1
1001,603,3
1002,271,3
1003,1360,3
1004,359,6
1005,1398,1
1006,2422,0
1007,1294,3
1008,443,0
1009,1282,3
1010,1392,3
1011,1544,0
1012,480,1
1013,480,1
1014,1479,0
1015,2003,11
1016,2315,3
1017,175,3
1018,2293,1
1019,480,1
1020,1341,5
1021,1398,1
1022,1608,0
1023,1392,0
1024,1392,3
1025,1392,3
1026,1119,1
1027,302,0
1028,1119,1
1029,1745,0
1030,985,5
1031,985,3
1032,985,5
1033,1185,3
1034,2422,3
1035,175,3
1036,2151,1
1037,2151,1
1038,2103,1
1039,2006,8
1040,2006,8
1041,2006,8
1042,1199,3
1043,2006,3
1044,2696,3
1045,202,0
1046,506,0
1047,638,3
1048,1929,3
1049,1186,3
1050,377,3
1051,999,3
1052,1839,8
1053,1685,1
1054,2027,1
1055,2315,0
1056,1382,3
1057,2285,1
1058,585,3
1059,1858,8
1060,393,3
1061,1544,0
1062,2489,0
1063,1037,8
1064,1621,1
1065,1621,1
1066,1621,1
1067,1621,1
1068,1621,1
1069,1813,3
1070,238,1
1071,2578,3
1072,89,3
1073,1618,0
1074,238,1
1075,2053,1
1076,566,3
1077,566,3
1078,62,3
1079,1516,8
1080,498,1
1081,1091,0
1082,1359,1
1083,106,3
1084,1751,3
1085,527,0
1086,691,9
1087,1392,0
1088,2022,1
1089,585,8
1090,585,8
1091,985,5
1092,985,5
1093,985,5
1094,480,1
1095,2103,1
1096,2032,6
1097,1843,2
1098,1843,0
1099,1843,0
1100,1392,3
1101,1544,0
1102,1544,8
1103,1343,2
1104,126,0
1105,1456,1
1106,2032,6
1107,302,0
1108,393,3
1109,2696,3
1110,2647,0
1111,2647,0
1112,2496,0
1113,1143,0
1114,2647,0
1115,1143,0
1116,1052,0
1117,1977,0
1118,208,6
1119,39,6
1120,2032,6
1121,2103,11
1122,2342,1
1123,489,0
1124,1688,0
1125,882,0
1126,489,8
1127,165,0
1128,165,0
1129,331,0
1130,1767,0
1131,254,0
1132,302,3
1133,480,1
1134,480,1
1135,480,1
1136,480,1
1137,480,1
1138,1859,6
1139,2143,3
1140,2143,3
1141,1282,3
1142,1621,1
1143,175,8
1144,175,8
1145,175,8
1146,175,8
1147,2595,8
1148,175,8
1149,393,0
1150,1735,0
1151,2283,11
1152,2283,3
1153,1282,3
1154,302,3
1155,2006,8
1156,2006,8
1157,364,3
1158,2006,8
1159,1479,0
1160,1392,0
1161,2315,3
1162,480,1
1163,1515,3
1164,1515,3
1165,480,1
1166,1224,1
1167,480,1
1168,480,1
1169,2006,3
1170,2006,3
1171,1992,3
1172,2100,7
1173,2239,1
1174,2239,1
1175,2476,3
1176,985,5
1177,2239,1
1178,2021,3
1179,2428,0
1180,2143,0
1181,2374,6
1182,1121,3
1183,2422,0
1184,1717,0
1185,2608,6
1186,2620,0
1187,1146,3
1188,770,1
1189,1772,0
1190,1685,1
1191,985,5
1192,985,5
1193,2103,0
1194,588,3
1195,999,1
1196,2315,0
1197,1544,0
1198,2578,3
1199,598,3
1200,2315,0
1201,1858,0
1202,1516,8
1203,1143,8
1204,535,0
1205,2006,3
1206,2422,0
1207,2053,1
1208,2309,3
1209,1735,0
1210,1796,3
1211,603,3
1212,603,3
1213,2167,0
1214,2540,7
1215,2032,6
1216,2006,3
1217,263,3
1218,2006,3
1219,1621,1
1220,2347,0
1221,2347,0
1222,773,0
1223,1843,2
1224,1929,3
1225,999,3
1226,2227,3
1227,1879,0
1228,536,6
1229,588,3
1230,2422,0
1231,1660,1
1232,999,3
1233,302,8
1234,2309,3
1235,2229,3
1236,506,0
1237,1146,3
1238,2578,3
1239,1774,6
1240,2007,8
1241,1947,3
1242,1107,0
1243,1392,3
1244,293,0
1245,2103,3
1246,1011,0
1247,1515,3
1248,2076,1
1249,506,0
1250,1145,3
1251,301,3
1252,1745,1
1253,638,3
1254,126,3
1255,766,0
1256,1643,11
1257,523,3
1258,663,1
1259,162,3
1260,1660,1
1261,1695,7
1262,1685,8
1263,498,1
1264,1698,1
1265,603,3
1266,2607,3
1267,1753,0
1268,1660,1
1269,301,7
1270,1233,0
1271,780,0
1272,2422,0
1273,1875,0
1274,1335,3
1275,1398,1
1276,1096,3
1277,2294,5
1278,1294,1
1279,162,3
1280,480,1
1281,94,3
1282,663,1
1283,2006,3
1284,2103,0
1285,1392,3
1286,1392,3
1287,1392,3
1288,2153,1
1289,489,3
1290,453,0
1291,453,0
1292,453,0
1293,2006,3
1294,1274,3
1295,1621,1
1296,1392,3
1297,1621,1
1298,1232,9
1299,453,0
1300,1189,3
1301,1621,1
1302,1992,3
1303,1923,11
1304,1858,0
1305,1858,0
1306,1695,7
1307,302,0
1308,302,0
1309,825,0
1310,2143,3
1311,536,6
1312,1479,0
1313,2006,8
1314,359,3
1315,359,3
1316,2476,3
1317,453,3
1318,453,0
1319,453,0
1320,453,3
1321,480,1
1322,480,1
1323,480,1
1324,453,3
1325,453,3
1326,453,0
1327,453,0
1328,453,0
1329,394,0
1330,1730,3
1331,2067,2
1332,1294,1
1333,2007,7
1334,513,3
1335,1795,3
1336,1730,3
1337,162,3
1338,302,0
1339,2342,1
1340,2103,1
1341,2137,0
1342,2283,11
1343,1205,6
1344,662,3
1345,364,3
1346,1531,0
1347,453,0
1348,447,0
1349,453,3
1350,1929,3
1351,1929,3
1352,495,3
1353,453,0
1354,453,0
1355,2185,3
1356,1471,8
1357,2429,0
1358,2429,9
1359,2429,0
1360,2429,9
1361,359,3
1362,1392,0
1363,2301,11
1364,1379,0
1365,175,8
1366,1392,0
1367,2006,8
1368,551,0
1369,1392,0
1370,985,5
1371,1660,1
1372,2143,3
1373,2077,11
1374,1983,0
1375,398,3
1376,545,3
1377,2410,3
1378,263,2
1379,1083,11
1380,263,2
1381,398,0
1382,2476,3
1383,1392,3
1384,1515,3
1385,2006,3
1386,999,0
1387,2169,1
1388,1985,1
1389,302,0
1390,1685,1
1391,1273,1
1392,2618,11
1393,458,3
1394,106,3
1395,1392,3
1396,489,0
1397,489,0
1398,489,0
1399,1462,1
1400,1462,1
1401,1462,1
1402,1462,1
1403,175,8
1404,1462,1
1405,2503,1
1406,2503,1
1407,1462,1
1408,2006,3
1409,2309,3
1410,175,8
1411,175,8
1412,175,8
1413,175,8
1414,175,8
1415,2185,3
1416,2578,3
1417,2003,11
1418,1553,3
1419,1037,8
1420,1205,0
1421,1544,0
1422,1063,3
1423,1112,0
1424,1505,2
1425,1505,2
1426,1463,0
1427,2006,3
1428,1515,3
1429,198,3
1430,892,1
1431,2067,2
1432,664,3
1433,1621,1
1434,430,0
1435,1621,1
1436,359,6
1437,1621,1
1438,1698,1
1439,855,0
1440,1362,1
1441,2143,3
1442,98,3
1443,1621,1
1444,459,0
1445,1008,1
1446,380,0
1447,1007,1
1448,1007,1
1449,2019,3
1450,12,3
1451,2622,3
1452,1000,3
1453,1745,6
1454,2270,0
1455,603,3
1456,1951,0
1457,585,3
1458,1143,3
1459,1820,0
1460,1360,3
1461,398,0
1462,1185,3
1463,1382,3
1464,1688,0
1465,1662,11
1466,1621,1
1467,302,3
1468,1578,3
1469,1282,3
1470,2229,3
1471,2245,3
1472,400,0
1473,1439,3
1474,2103,6
1475,1929,0
1476,1753,0
1477,2047,7
1478,1843,2
1479,1843,7
1480,804,0
1481,2103,1
1482,2103,1
1483,985,5
1484,536,1
1485,561,0
1486,1698,1
1487,1630,3
1488,498,1
1489,359,6
1490,1282,3
1491,2016,0
1492,480,1
1493,1412,3
1494,468,6
1495,1685,8
1496,2103,8
1497,1745,1
1498,1282,3
1499,804,0
1500,2103,7
1501,2103,7
1502,2103,7
1503,2103,7
1504,1685,3
1505,1845,9
1506,1772,11
1507,638,3
1508,393,0
1509,999,0
1510,818,3
1511,2006,3
1512,1843,2
1513,2315,0
1514,503,3
1515,302,0
1516,302,0
1517,2021,3
1518,58,3
1519,2062,3
1520,862,1
1521,2151,1
1522,362,1
1523,1730,3
1524,480,1
1525,2151,1
1526,480,1
1527,1553,6
1528,2559,0
1529,1685,8
1530,2429,0
1531,2489,0
1532,1621,1
1533,2032,3
1534,938,1
1535,480,1
1536,480,1
1537,2143,3
1538,1844,0
1539,2201,0
1540,480,1
1541,999,8
1542,1211,6
1543,2059,3
1544,2003,11
1545,1745,3
1546,2011,8
1547,985,5
1548,302,3
1549,2006,3
1550,1621,1
1551,1301,0
1552,1745,11
1553,441,3
1554,2540,7
1555,2143,3
1556,393,0
1557,1392,0
1558,1392,3
1559,560,3
1560,560,3
1561,712,0
1562,1392,3
1563,1695,7
1564,1695,7
1565,1392,3
1566,2103,6
1567,1751,3
1568,133,8
1569,2006,3
1570,439,7
1571,2103,7
1572,2103,7
1573,2103,7
1574,2103,7
1575,2103,7
1576,2103,7
1577,800,0
1578,985,5
1579,2478,2
1580,2103,7
1581,1282,3
1582,208,6
1583,914,1
1584,1877,3
1585,638,8
1586,999,1
1587,925,3
1588,263,2
1589,2006,3
1590,598,3
1591,1621,1
1592,2072,6
1593,1806,2
1594,1069,3
1595,1516,8
1596,1806,2
1597,1806,2
1598,1445,3
1599,2006,3
1600,1052,3
1601,2083,0
1602,1873,3
1603,1143,0
1604,2006,3
1605,2178,0
1606,1516,8
1607,2466,0
1608,2429,9
1609,2429,0
1610,2429,9
1611,2103,3
1612,1359,8
1613,1974,1
1614,2006,3
1615,2103,6
1616,2103,6
1617,1544,0
1618,1282,3
1619,985,5
1620,985,5
1621,664,3
1622,2153,1
1623,1115,3
1624,588,3
1625,2006,3
1626,499,6
1627,1660,1
1628,2559,0
1629,480,1
1630,2006,3
1631,2699,3
1632,831,8
1633,398,3
1634,1515,3
1635,2252,3
1636,2476,3
1637,2476,3
1638,2476,3
1639,302,3
1640,162,3
1641,2429,9
1642,603,3
1643,99,3
1644,999,8
1645,960,0
1646,2143,3
1647,1143,0
1648,2007,7
1649,1338,3
1650,364,3
1651,2647,3
1652,393,3
1653,532,3
1654,2429,0
1655,2032,6
1656,1189,3
1657,398,3
1658,2252,8
1659,1392,3
1660,536,1
1661,286,0
1662,2136,0
1663,1252,0
1664,1185,3
1665,840,0
1666,2476,3
1667,1392,3
1668,1559,0
1669,295,2
1670,1392,3
1671,1334,0
1672,2476,3
1673,1688,0
1674,293,0
1675,2476,3
1676,1648,3
1677,2283,11
1678,1392,3
1679,1392,3
1680,1595,5
1681,2417,1
1682,180,8
1683,1282,3
1684,1745,11
1685,398,0
1686,2294,5
1687,1412,3
1688,302,3
1689,302,3
1690,459,0
1691,2483,3
1692,2483,3
1693,1690,0
1694,1294,1
1695,460,0
1696,1843,0
1697,2006,3
1698,1929,3
1699,506,0
1700,588,3
1701,1730,3
1702,1158,0
1703,1069,0
1704,1730,3
1705,1282,3
1706,301,0
1707,2143,3
1708,499,0
1709,2429,0
1710,661,7
1711,2032,6
1712,2007,8
1713,1392,3
1714,1515,3
1715,2429,1
1716,1392,3
1717,2540,7
1718,1698,1
1719,2315,0
1720,302,3
1721,2429,0
1722,1282,3
1723,1759,0
1724,1518,14
1725,1314,0
1726,1211,6
1727,1178,3
1728,2136,0
1729,62,5
1730,1523,3
1731,366,5
1732,2301,11
1733,2066,2
1734,2399,2
1735,1273,1
1736,1544,0
1737,1268,1
1738,2294,5
1739,2263,1
1740,2021,3
1741,1974,1
1742,1974,1
1743,2242,3
1744,999,0
1745,1544,0
1746,1593,5
1747,1392,3
1748,2647,0
1749,1662,11
1750,208,6
1751,1462,1
1752,398,3
1753,1515,0
1754,2103,1
1755,1662,0
1756,905,0
1757,985,5
1758,2011,1
1759,587,8
1760,587,8
1761,2726,3
1762,1223,7
1763,2017,8
1764,1498,0
1765,1498,0
1766,398,3
1767,938,1
1768,1392,3
1769,1091,3
1770,1392,3
1771,1905,0
1772,175,3
1773,2006,3
1774,2006,3
1775,2006,3
1776,175,3
1777,1905,0
1778,175,3
1779,1905,0
1780,1905,3
1781,1905,0
1782,1905,0
1783,1905,3
1784,1905,0
1785,1905,3
1786,1905,0
1787,1905,3
1788,914,1
1789,998,0
1790,1843,0
1791,480,1
1792,480,1
1793,480,1
1794,359,8
1795,1806,7
1796,1806,7
1797,480,1
1798,480,1
1799,162,3
1800,459,0
1801,1236,0
1802,459,3
1803,691,9
1804,653,1
1805,2429,0
1806,2518,1
1807,1179,8
1808,2593,8
1809,511,0
1810,1621,1
1811,1621,1
1812,1621,1
1813,2143,3
1814,1992,3
1815,1755,3
1816,1992,0
1817,1908,7
1818,1147,8
1819,1645,3
1820,2006,8
1821,999,3
1822,914,1
1823,1294,1
1824,1621,1
1825,985,5
1826,2429,0
1827,1543,0
1828,677,3
1829,2315,0
1830,2476,3
1831,95,3
1832,2006,3
1833,2429,1
1834,175,3
1835,2006,3
1836,2032,6
1837,2429,1
1838,2019,3
1839,2143,3
1840,1473,3
1841,480,1
1842,1335,3
1843,2596,8
1844,2597,8
1845,406,8
1846,647,0
1847,2077,11
1848,1037,8
1849,2309,3
1850,2476,3
1851,2476,3
1852,694,1
1853,2006,8
1854,826,0
1855,2006,3
1856,662,3
1857,227,0
1858,660,1
1859,2103,0
1860,1578,3
1861,2065,0
1862,2065,0
1863,1292,6
1864,2072,6
1865,2720,8
1866,2720,8
1867,2476,3
1868,1718,0
1869,595,0
1870,2595,8
1871,2595,8
1872,1806,11
1873,171,1
1874,1245,3
1875,1382,3
1876,2315,0
1877,1878,5
1878,265,3
1879,1037,8
1880,2060,1
1881,840,0
1882,2699,0
1883,1544,0
1884,1730,3
1885,624,8
1886,1755,3
1887,165,0
1888,1553,3
1889,2595,8
1890,2006,3
1891,61,3
1892,2429,0
1893,1544,0
1894,2429,0
1895,42,3
1896,2429,0
1897,905,0
1898,2102,7
1899,2429,0
1900,2429,9
1901,857,3
1902,2242,3
1903,2429,0
1904,2429,0
1905,2242,3
1906,62,5
1907,894,0
1908,1334,0
1909,1934,1
1910,999,8
1911,598,3
1912,489,0
1913,489,0
1914,1268,1
1915,833,6
1916,2021,3
1917,1052,3
1918,686,3
1919,714,0
1920,1154,0
1921,191,3
1922,2006,3
1923,1910,0
1924,1282,3
1925,1544,0
1926,2695,0
1927,2006,3
1928,1398,1
1929,1398,1
1930,1884,1
1931,2006,3
1932,2654,0
1933,133,8
1934,1398,1
1935,1398,1
1936,1484,3
1937,1203,3
1938,1511,3
1939,393,0
1940,2523,1
1941,393,3
1942,1543,0
1943,1628,3
1944,2422,0
1945,999,3
1946,2548,0
1947,2059,3
1948,1382,3
1949,1382,3
1950,1052,3
1951,58,3
1952,2647,3
1953,1379,3
1954,1392,3
1955,1392,3
1956,585,6
