movie,genres,director,stars
135,6,133,125
136,0,62,126
137,5,134,127
138,0,135,31
139,4,136,128
140,0,137,129
141,1,138,104
142,4,139,130
143,4,140,131
144,0,141,132
145,0,142,22
146,4,143,58
147,7,144,133
148,4,145,134
149,10,146,135
150,4,147,136
151,4,148,137
152,4,149,138
153,0,150,139
154,5,151,140
155,7,152,141
156,0,153,57
157,4,154,115
158,4,155,142
159,0,156,143
160,4,157,144
161,7,158,145
162,7,159,71
163,7,160,146
164,4,161,62
165,4,162,81
166,0,163,147
167,0,164,148
168,7,165,120
169,7,166,149
170,18,167,114
171,4,168,19
172,0,169,150
173,4,170,151
174,6,171,152
175,7,172,132
176,0,173,153
177,7,174,84
178,0,175,77
179,7,24,154
180,1,176,155
181,7,177,156
182,7,178,157
183,7,179,158
184,4,180,91
185,7,181,35
186,4,182,159
187,7,183,160
188,7,184,161
189,7,185,137
190,4,149,162
191,4,186,80
192,7,187,10
193,0,80,19
194,5,188,163
195,7,189,21
196,5,190,164
197,4,191,18
198,4,16,165
199,7,192,166
200,4,193,167
201,18,194,80
202,4,195,168
203,4,196,169
204,1,197,170
205,2,198,171
206,8,199,172
207,7,200,173
208,18,201,174
209,4,202,175
210,6,203,176
211,18,204,177
212,4,205,178
213,18,206,179
214,4,207,180
215,0,208,40
216,4,209,181
217,7,210,182
218,18,211,183
219,4,212,184
220,4,213,185
221,0,214,129
222,1,215,186
223,5,99,107
224,0,216,187
225,7,217,33
226,7,218,188
227,7,219,189
228,7,172,190
229,7,220,182
230,1,90,191
231,5,17,192
232,4,221,193
233,7,222,194
234,18,223,195
235,7,85,15
236,4,224,196
237,4,225,4
238,4,226,197
239,19,227,198
240,4,228,100
241,7,229,199
242,7,230,66
243,4,231,200
244,7,232,201
245,5,233,202
246,0,234,203
247,4,235,204
248,4,236,205
249,0,13,206
250,4,237,207
251,5,238,208
252,7,239,209
253,0,240,210
254,0,241,211
255,4,242,207
256,4,243,63
257,5,244,84
258,4,16,165
259,7,148,212
260,18,245,148
261,7,246,213
262,18,247,214
263,0,248,215
264,4,249,216
265,4,250,217
266,7,251,218
267,7,251,219
268,4,251,220
269,7,252,11
270,7,253,221
271,4,254,222
272,2,255,223
273,7,256,224
274,0,257,22
275,0,258,225
276,4,259,226
277,7,260,181
278,5,261,227
279,7,262,228
280,4,263,229
281,4,264,46
282,4,265,230
283,1,266,231
284,7,29,232
285,0,267,233
286,0,268,234
287,0,269,235
288,5,270,236
289,18,271,237
290,10,272,238
291,1,273,79
292,4,274,239
293,5,275,240
294,0,276,241
295,7,162,80
296,0,199,127
297,4,277,57
298,7,113,242
299,7,278,243
300,4,279,244
301,4,280,245
302,4,281,18
303,4,282,246
304,18,139,247
305,7,189,115
306,4,47,248
307,0,283,6
308,5,124,33
309,4,284,90
310,4,130,249
311,0,285,250
312,18,286,251
313,4,287,252
314,7,288,0
315,4,119,115
316,5,289,253
317,4,290,254
318,0,4,183
319,4,291,24
320,1,292,255
321,6,293,256
322,2,294,257
323,7,295,132
324,8,82,258
325,0,296,18
326,0,22,44
327,18,297,50
328,4,273,11
329,4,121,259
330,4,298,42
331,5,91,24
332,4,299,260
333,1,300,97
334,0,301,132
335,4,302,259
336,0,8,8
337,0,303,185
338,7,304,168
339,7,114,70
340,1,195,153
341,5,305,261
342,4,306,154
343,4,307,247
344,0,308,262
345,7,309,263
346,7,310,264
347,0,311,265
348,5,312,241
349,0,313,8
350,0,314,40
351,5,315,266
352,7,272,267
353,18,316,268
354,5,317,269
355,4,20,270
356,7,15,271
357,4,318,272
358,4,319,12
359,4,80,55
360,0,320,273
361,4,321,274
362,4,322,1
363,4,79,275
364,0,323,82
365,1,324,276
366,5,232,273
367,0,325,77
368,7,110,183
369,7,326,194
370,10,123,277
371,7,327,278
372,5,328,15
373,1,329,279
374,4,330,280
375,5,331,5
376,4,332,169
377,4,333,281
378,0,14,22
379,4,334,282
380,12,335,31
381,4,336,196
382,0,337,206
383,4,213,283
384,4,179,284
385,0,338,22
386,4,41,285
387,4,339,286
388,7,340,287
389,7,341,77
390,4,270,288
391,4,342,289
392,7,343,290
393,4,344,291
394,4,20,292
395,7,6,293
396,1,345,104
397,5,346,294
398,0,103,6
399,7,175,295
400,0,163,296
401,4,2,260
402,4,347,297
403,0,84,8
404,0,348,298
405,4,349,167
406,4,350,115
407,7,351,299
408,4,352,300
409,4,353,181
410,4,354,183
411,4,355,58
412,0,240,92
413,18,356,271
414,4,357,38
415,18,71,301
416,5,187,289
417,0,325,302
418,0,358,267
419,5,359,182
420,5,360,303
421,19,361,304
422,0,135,185
423,4,362,292
424,4,345,305
425,7,363,299
426,4,226,159
427,5,88,296
428,7,97,44
429,4,47,47
430,5,38,306
431,0,364,225
432,7,365,307
433,4,366,308
434,4,85,98
435,4,367,83
436,4,154,1
437,4,368,309
438,0,117,310
439,0,9,90
440,1,10,242
441,18,369,311
442,5,93,153
443,7,370,0
444,7,371,51
445,7,289,312
446,0,111,313
447,10,372,314
448,4,373,315
449,4,83,316
450,7,211,13
451,4,374,317
452,0,375,129
453,4,376,13
454,0,377,318
455,1,11,319
456,5,378,179
457,5,379,320
458,7,380,321
459,18,381,322
460,18,382,323
461,18,358,117
462,4,336,324
463,18,383,325
464,7,167,326
465,4,384,327
466,0,385,296
467,18,386,13
468,4,250,151
469,7,387,4
470,4,388,115
471,4,209,112
472,4,225,0
473,7,283,215
474,0,77,6
475,4,389,58
476,4,390,328
477,0,391,31
478,1,392,329
479,0,268,330
480,0,393,298
481,18,394,331
482,4,395,332
483,2,396,333
484,0,55,298
485,0,397,225
486,5,132,66
487,6,398,334
488,2,399,260
489,4,400,335
490,7,401,336
491,0,402,337
492,4,403,338
493,4,404,339
494,4,405,340
495,4,406,341
496,4,106,342
497,4,79,343
498,1,407,344
499,0,408,345
500,4,409,346
501,6,410,347
502,18,411,348
503,4,412,349
504,4,154,260
505,7,137,149
506,2,413,350
507,0,303,185
508,1,414,153
509,0,194,259
510,5,370,201
511,2,415,351
512,2,416,352
513,2,417,353
514,4,193,354
515,0,418,355
516,5,419,356
517,6,420,357
518,4,39,30
519,10,421,358
520,5,353,359
521,1,422,292
522,2,423,360
523,10,424,361
524,4,425,362
525,7,426,363
526,4,427,364
527,2,428,365
528,7,403,366
529,4,429,126
530,4,430,367
531,4,431,368
532,4,432,369
533,5,433,354
534,2,434,298
535,7,219,370
536,4,435,371
537,0,436,159
538,4,437,372
539,7,438,373
540,4,439,4
541,4,440,374
542,4,130,375
543,7,441,215
544,7,442,376
545,0,220,127
546,0,331,293
547,4,443,377
548,7,444,378
549,0,445,290
550,4,389,159
551,2,396,379
552,7,446,380
553,4,266,381
554,4,447,382
555,0,448,383
556,7,449,384
557,7,449,385
558,4,450,386
559,2,451,387
560,1,452,388
561,20,453,389
562,7,249,154
563,7,454,390
564,7,455,391
565,0,345,392
566,4,226,393
567,0,456,394
568,0,457,337
569,5,458,35
570,4,459,132
571,7,460,395
572,4,461,396
573,7,462,42
574,0,463,8
575,7,464,397
576,5,238,183
577,4,318,285
578,2,465,398
579,4,466,191
580,1,467,305
581,1,468,80
582,1,469,399
583,4,470,400
584,4,254,259
585,6,471,401
586,7,395,402
587,4,104,403
588,7,472,215
589,4,54,404
590,7,473,296
591,0,116,129
592,4,474,405
593,0,301,406
594,0,475,407
595,2,476,408
596,8,477,318
597,0,478,11
598,2,479,409
599,1,323,410
600,14,480,298
601,4,481,411
602,0,105,102
603,6,482,412
604,7,483,413
605,0,345,234
606,4,291,71
607,7,484,414
608,4,485,1
609,18,486,118
610,7,487,415
611,7,488,388
612,7,261,416
613,13,489,417
614,0,258,112
615,7,295,299
616,0,132,15
617,2,416,71
618,4,298,18
619,4,490,206
620,0,296,185
621,4,281,82
622,7,491,418
623,6,492,419
624,4,493,420
625,0,445,22
626,4,204,292
627,7,256,421
628,4,494,422
629,7,277,84
630,4,495,423
631,4,115,424
632,5,124,425
633,7,315,210
634,1,496,426
635,0,497,25
636,4,319,427
637,4,498,428
638,4,499,349
639,4,500,429
640,7,501,430
641,1,334,431
642,4,502,432
643,4,503,433
644,0,121,44
645,4,504,434
646,7,505,435
647,0,103,132
648,4,506,317
649,4,507,436
650,0,508,437
651,4,509,438
652,7,510,439
653,4,511,440
654,7,512,441
655,0,272,225
656,18,513,442
657,4,286,153
658,5,485,443
659,0,98,96
660,5,514,444
661,4,515,410
662,5,250,50
663,4,117,289
664,0,516,445
665,0,98,446
666,10,8,447
667,10,517,309
668,19,518,178
669,7,519,448
670,4,237,159
671,0,268,191
672,2,520,449
673,13,521,450
674,10,522,451
675,4,523,452
676,7,524,183
677,7,525,453
678,1,526,454
679,4,527,455
680,4,528,456
681,7,529,456
682,4,528,457
683,4,530,457
684,12,531,458
685,12,531,458
686,4,532,459
687,5,527,460
688,4,533,461
689,1,531,455
690,4,534,462
691,4,534,463
692,4,528,455
693,7,535,464
694,9,536,464
695,7,527,457
696,4,534,464
697,4,537,465
698,4,538,466
699,4,529,467
700,1,539,467
701,7,539,459
702,4,226,468
703,7,534,355
704,7,540,469
705,1,481,470
706,7,541,471
707,4,527,472
708,7,531,473
709,0,531,474
710,7,531,455
711,9,531,475
712,7,542,455
713,12,531,455
714,4,529,476
715,4,529,461
716,4,543,477
717,4,534,454
718,4,529,478
719,0,535,479
720,0,544,480
721,7,545,481
722,4,541,481
723,1,532,482
724,4,533,461
725,4,543,483
726,4,546,484
727,7,547,485
728,7,548,486
729,4,549,484
730,4,550,455
731,1,551,487
732,7,532,458
733,4,532,458
734,4,550,488
735,7,547,455
736,7,552,471
737,7,552,489
738,4,553,490
739,12,531,491
740,10,554,492
741,1,536,464
742,0,536,464
743,7,555,485
744,4,532,454
745,7,556,454
746,7,557,370
747,0,36,61
748,7,558,355
749,4,559,493
750,1,560,494
751,7,561,495
752,4,17,496
753,0,562,8
754,18,210,117
755,18,563,257
756,7,564,497
757,0,175,31
758,0,61,498
759,4,565,499
760,5,232,115
761,0,566,150
762,0,567,302
763,5,446,137
764,4,568,500
765,1,569,501
766,1,570,502
767,4,571,503
768,4,571,504
769,1,571,505
770,4,572,506
771,4,572,507
772,1,573,292
773,19,574,508
774,1,575,509
775,4,571,506
776,1,576,510
777,1,277,122
778,4,577,392
779,2,578,511
780,2,428,512
781,2,417,513
782,2,428,514
783,0,173,153
784,4,571,515
785,2,579,516
786,2,580,517
787,2,571,518
788,2,578,519
789,2,581,520
790,4,582,521
791,18,583,515
792,0,135,31
793,10,199,522
794,7,584,329
795,4,368,523
796,4,585,0
797,7,586,240
798,4,587,524
799,0,14,14
800,1,325,10
801,6,588,5
802,4,589,134
803,5,590,321
804,7,130,525
805,0,397,298
806,7,591,526
807,4,47,47
808,7,592,114
809,4,593,527
810,5,187,15
811,2,594,350
812,4,533,461
813,5,595,528
814,19,596,529
815,4,47,47
816,4,47,47
817,4,597,530
818,4,598,531
819,4,530,515
820,4,336,110
821,0,530,532
822,0,599,193
823,1,600,476
824,5,531,533
825,7,601,149
826,5,244,62
827,7,13,298
828,1,602,534
829,7,160,10
830,18,13,119
831,5,210,535
832,5,446,5
833,7,603,97
834,19,358,536
835,7,604,537
836,0,132,293
837,0,132,293
838,7,605,486
839,7,548,538
840,10,606,539
841,4,607,540
842,6,608,418
843,4,609,541
844,5,123,143
845,7,610,542
846,4,611,543
847,7,612,544
848,18,613,206
849,4,614,545
850,6,615,546
851,7,616,488
852,4,530,411
853,4,617,346
854,1,303,547
855,10,272,548
856,0,272,225
857,10,618,549
858,4,401,550
859,4,401,550
860,4,619,433
861,1,31,531
862,7,620,551
863,18,621,552
864,6,622,515
865,6,623,553
866,2,479,409
867,18,624,264
868,2,625,554
869,7,626,555
870,7,627,556
871,4,378,468
872,7,628,557
873,4,193,558
874,0,629,559
875,4,33,181
876,7,630,560
877,5,631,561
878,4,28,562
879,7,251,218
880,7,119,563
881,7,481,510
882,5,81,270
883,4,632,564
884,7,367,148
885,4,633,565
886,18,356,271
887,7,275,566
888,7,256,567
889,4,592,568
890,6,634,569
891,4,403,60
892,6,342,570
893,6,635,571
894,7,613,70
895,4,636,572
896,0,637,187
897,1,10,319
898,0,358,6
899,7,31,573
900,0,303,21
901,17,638,92
902,4,639,374
903,5,640,574
904,1,641,468
905,5,481,575
906,5,642,465
907,7,485,576
908,17,638,574
909,0,643,187
910,7,644,577
911,9,645,469
912,18,15,15
913,10,77,21
914,4,248,578
915,1,241,579
916,0,646,580
917,0,84,581
918,10,531,582
919,0,323,583
920,5,485,5
921,7,481,173
922,2,479,409
923,0,85,98
924,18,613,584
925,4,647,585
926,5,638,15
927,18,15,15
928,4,47,47
929,1,375,586
930,7,648,587
931,1,240,588
932,4,649,200
933,4,650,589
934,4,120,590
935,7,651,591
936,4,322,592
937,0,303,185
938,0,204,593
939,18,220,257
940,4,652,179
941,4,47,47
942,5,353,594
943,4,341,1
944,4,114,210
945,5,540,595
946,0,241,596
947,1,641,355
948,7,488,597
949,7,189,70
950,7,583,598
951,1,536,464
952,4,204,599
953,4,542,600
954,4,653,248
955,7,481,70
956,1,10,601
957,5,654,602
958,0,248,578
959,1,600,603
960,7,655,15
961,15,656,604
962,4,254,428
963,7,93,92
964,7,517,605
965,4,657,66
966,4,532,455
967,1,288,292
968,7,113,164
969,18,658,606
970,4,468,607
971,2,659,608
972,0,385,40
973,5,660,200
974,4,469,264
975,4,11,529
976,4,468,42
977,7,29,29
978,4,661,609
979,2,662,610
980,7,663,454
981,5,550,464
982,4,318,42
983,7,664,238
984,1,537,595
985,4,10,611
986,6,665,612
987,7,2,303
988,0,358,6
989,4,650,411
990,18,386,613
991,7,375,271
992,7,211,614
993,4,166,119
994,7,376,615
995,18,159,616
996,7,162,617
997,0,666,618
998,7,667,153
999,1,536,129
1000,18,649,200
1001,7,644,619
1002,0,644,363
1003,4,10,169
1004,6,668,620
1005,7,669,311
1006,4,670,621
1007,0,43,21
1008,4,323,622
1009,10,671,623
1010,10,576,624
1011,10,672,625
1012,10,673,626
1013,10,674,627
1014,10,660,628
1015,10,675,629
1016,10,676,630
1017,10,677,631
1018,7,583,13
1019,5,54,576
1020,7,531,632
1021,10,678,603
1022,4,679,633
1023,10,680,522
1024,10,583,634
1025,10,485,179
1026,7,681,634
1027,10,682,635
1028,10,206,636
1029,5,15,15
1030,7,683,465
1031,10,331,637
1032,8,684,638
1033,10,82,258
1034,8,685,639
1035,10,686,640
1036,10,22,465
1037,5,687,70
1038,5,688,83
1039,4,689,641
1040,7,690,642
1041,7,691,416
1042,0,692,235
1043,18,693,643
1044,7,694,389
1045,1,287,185
1046,6,695,644
1047,4,374,127
1048,4,696,645
1049,7,223,271
1050,1,55,646
1051,0,14,31
1052,1,583,647
1053,0,697,647
1054,0,698,647
1055,0,697,647
1056,0,699,647
1057,1,699,647
1058,0,194,259
1059,0,117,302
1060,0,169,302
1061,11,455,84
1062,4,700,30
1063,0,138,150
1064,0,103,150
1065,1,358,648
1066,1,664,648
1067,1,701,290
1068,1,273,462
1069,4,194,70
1070,4,702,649
1071,4,703,293
1072,4,353,24
1073,4,187,55
1074,4,667,110
1075,7,704,50
1076,18,386,57
1077,7,705,97
1078,7,10,296
1079,2,706,650
1080,5,707,116
1081,10,82,651
1082,0,5,271
1083,4,225,84
1084,7,85,98
1085,7,708,652
1086,18,709,653
1087,4,710,324
1088,5,525,120
1089,18,376,570
1090,7,371,41
1091,1,711,654
1092,0,138,19
1093,7,712,655
1094,4,209,530
1095,1,407,49
1096,0,713,90
1097,7,714,656
1098,0,98,96
1099,4,715,316
1100,0,92,79
1101,0,716,82
1102,7,717,657
1103,0,163,9
1104,4,718,658
1105,4,719,24
1106,4,441,80
1107,18,203,659
1108,0,150,410
1109,4,720,660
1110,4,721,661
1111,4,722,662
1112,4,78,663
1113,4,179,664
1114,4,723,665
1115,4,34,666
1116,4,684,667
1117,0,93,92
1118,0,724,26
1119,4,725,196
1120,12,726,123
1121,0,289,668
1122,18,119,5
1123,4,317,669
1124,0,180,670
1125,4,259,226
1126,5,242,671
1127,18,412,672
1128,7,727,38
1129,0,283,119
1130,5,351,673
1131,7,363,566
1132,4,728,674
1133,4,281,18
1134,18,229,675
1135,0,603,6
1136,2,729,135
1137,4,730,676
1138,4,731,677
1139,0,732,678
1140,7,206,679
1141,0,733,8
1142,7,185,680
1143,0,257,668
1144,0,734,248
1145,7,735,681
1146,1,736,289
1147,7,472,646
1148,4,737,682
1149,7,340,287
1150,0,333,251
1151,4,738,683
1152,1,739,328
1153,5,740,225
1154,7,741,684
1155,4,213,1
1156,0,241,31
1157,4,136,128
1158,4,742,685
1159,4,743,686
1160,4,744,168
1161,4,745,687
1162,0,358,172
1163,7,746,688
1164,4,275,689
1165,7,747,690
1166,4,748,667
1167,4,439,691
1168,1,324,692
1169,0,749,24
1170,7,631,693
1171,0,301,57
1172,0,124,185
1173,4,332,211
1174,4,750,62
1175,2,413,694
1176,4,279,81
1177,4,751,695
1178,7,454,696
1179,0,84,84
1180,7,102,697
1181,0,20,251
1182,4,166,462
1183,0,577,7
1184,4,336,698
1185,7,288,201
1186,4,752,699
1187,0,77,71
1188,0,753,185
1189,0,754,272
1190,5,484,22
1191,10,40,25
1192,0,755,700
1193,4,756,701
1194,4,221,702
1195,4,757,703
1196,4,368,157
1197,0,22,44
1198,0,99,259
1199,0,758,427
1200,7,759,704
1201,5,760,25
1202,4,761,705
1203,10,762,682
1204,0,763,298
1205,0,338,35
1206,0,764,706
1207,0,240,6
1208,7,173,403
1209,0,135,129
1210,7,41,707
1211,4,765,708
1212,4,766,709
1213,4,53,283
1214,0,238,13
1215,0,767,710
1216,5,300,46
1217,1,768,182
1218,5,73,43
1219,4,769,711
1220,8,770,712
1221,7,42,30
1222,0,43,10
1223,0,771,150
1224,5,13,704
1225,4,772,713
1226,0,68,714
1227,7,380,715
1228,7,16,283
1229,4,149,545
1230,4,773,716
1231,4,774,717
1232,18,775,718
1233,10,776,719
1234,7,190,132
1235,4,777,720
1236,5,778,721
1237,4,779,142
1238,6,634,722
1239,7,167,50
1240,6,468,723
1241,7,780,158
1242,7,781,724
1243,10,522,468
1244,7,168,725
1245,4,261,369
1246,5,782,726
1247,7,783,403
1248,5,784,392
1249,0,785,727
1250,4,213,428
1251,1,373,728
1252,5,786,84
1253,7,591,729
1254,5,787,17
1255,5,485,730
1256,7,788,380
1257,5,341,6
1258,5,80,295
1259,0,160,731
1260,4,640,566
1261,7,161,732
1262,4,789,733
1263,4,790,436
1264,0,791,734
1265,4,341,18
1266,7,139,452
1267,7,74,735
1268,7,792,736
1269,5,113,354
1270,0,122,31
1271,2,793,168
1272,4,21,428
1273,0,794,21
1274,18,358,737
1275,7,795,372
1276,18,796,738
1277,7,797,739
1278,4,210,535
1279,4,47,47
1280,4,227,1
1281,4,150,226
1282,7,41,1
1283,0,798,740
1284,5,93,248
1285,4,799,741
1286,10,82,651
1287,15,800,742
1288,7,192,743
1289,7,303,114
1290,0,801,9
1291,0,414,153
1292,7,245,110
1293,5,244,744
1294,18,15,745
1295,1,98,11
1296,4,353,77
1297,4,297,183
1298,7,802,746
1299,7,218,158
1300,0,803,747
1301,4,79,748
1302,4,187,210
1303,12,285,749
1304,0,804,43
1305,4,180,750
1306,0,433,127
1307,4,805,751
1308,4,105,752
1309,0,806,753
1310,4,724,754
1311,0,292,755
1312,4,807,756
1313,0,808,581
1314,5,52,757
1315,8,809,758
1316,0,323,282
1317,4,810,91
1318,0,187,210
1319,5,627,206
1320,4,354,70
1321,5,123,143
1322,5,231,200
1323,0,364,251
1324,1,282,759
1325,4,811,760
1326,6,812,117
1327,7,813,194
1328,4,814,143
1329,0,815,114
1330,0,179,425
1331,5,590,12
1332,1,816,761
1333,7,30,527
1334,5,817,762
1335,4,114,84
1336,4,818,763
1337,4,819,39
1338,4,223,702
1339,4,222,389
1340,4,820,764
1341,1,464,765
1342,6,128,766
1343,7,161,299
1344,0,325,179
1345,0,88,31
1346,7,821,4
1347,7,129,24
1348,4,321,767
1349,1,2,462
1350,4,318,169
1351,7,130,127
1352,5,250,98
1353,7,403,768
1354,4,822,123
1355,1,7,252
1356,4,823,55
1357,6,87,769
1358,4,145,173
1359,0,824,96
1360,7,825,770
1361,5,826,771
1362,0,378,147
1363,4,827,135
1364,0,828,380
1365,0,829,731
1366,4,830,772
1367,5,351,117
1368,4,831,244
1369,0,767,372
1370,2,832,773
1371,0,258,257
1372,4,833,193
1373,1,31,80
1374,4,834,26
1375,1,722,79
1376,7,3,57
1377,5,835,774
1378,7,836,775
1379,5,103,10
1380,7,837,776
1381,0,213,6
1382,4,838,719
1383,7,839,777
1384,7,840,778
1385,13,841,779
1386,4,120,780
1387,4,64,303
1388,2,842,781
1389,7,843,721
1390,0,844,782
1391,4,412,82
1392,4,275,710
1393,7,341,783
1394,4,845,784
1395,4,846,785
1396,0,116,31
1397,0,22,44
1398,4,155,786
1399,0,618,787
1400,7,847,788
1401,7,848,789
1402,4,490,369
1403,10,849,790
1404,7,850,791
1405,7,851,792
1406,7,852,793
1407,7,853,477
1408,1,854,794
1409,18,855,484
1410,18,856,795
1411,4,532,796
1412,7,537,797
1413,4,542,798
1414,7,534,533
1415,7,537,799
1416,7,548,465
1417,7,857,473
1418,7,858,800
1419,7,663,592
1420,5,548,443
1421,7,859,801
1422,5,860,802
1423,1,326,154
1424,18,663,803
1425,5,237,804
1426,7,645,805
1427,7,54,210
1428,0,110,20
1429,7,316,22
1430,7,231,210
1431,7,245,314
1432,18,861,806
1433,4,354,393
1434,18,6,97
1435,18,295,807
1436,7,187,210
1437,7,472,43
1438,4,47,47
1439,5,603,388
1440,0,862,619
1441,4,321,808
1442,1,863,809
1443,4,864,302
1444,10,865,810
1445,8,296,258
1446,10,14,810
1447,8,325,810
1448,8,267,810
1449,10,866,811
1450,10,67,811
1451,10,67,812
1452,10,867,813
1453,10,868,814
1454,10,869,815
1455,10,870,816
1456,1,871,817
1457,10,272,451
1458,10,872,438
1459,10,873,818
1460,10,138,451
1461,10,874,451
1462,10,875,11
1463,10,876,819
1464,8,477,820
1465,10,877,821
1466,10,878,822
1467,10,879,823
1468,10,71,823
1469,10,880,824
1470,10,110,825
1471,10,126,826
1472,7,881,606
1473,0,22,44
1474,0,22,44
1475,0,22,44
1476,4,618,827
1477,4,618,827
1478,1,22,322
1479,0,9,126
1480,4,882,828
1481,5,883,829
1482,5,576,595
1483,7,654,830
1484,1,288,292
1485,1,288,292
1486,0,884,20
1487,4,885,831
1488,4,571,508
1489,4,886,832
1490,4,887,833
1491,2,662,834
1492,0,646,835
1493,7,81,646
1494,0,726,448
1495,7,15,237
1496,5,485,5
1497,7,888,836
1498,7,889,299
1499,10,890,837
1500,4,348,838
1501,7,358,0
1502,19,713,225
1503,2,581,839
1504,0,885,840
1505,4,571,841
1506,4,891,842
1507,1,568,201
1508,4,568,843
1509,4,713,225
1510,0,892,844
1511,4,754,302
1512,1,571,845
1513,4,893,846
1514,1,455,847
1515,2,413,848
1516,1,886,849
1517,0,886,503
1518,4,894,850
1519,1,455,67
1520,1,1,67
1521,0,713,851
1522,1,571,506
1523,1,895,852
1524,0,61,403
1525,1,896,853
1526,4,897,854
1527,6,128,766
1528,4,47,144
1529,5,898,855
1530,7,641,856
1531,7,651,857
1532,7,899,858
1533,7,472,372
1534,7,801,173
1535,4,618,0
1536,4,173,153
1537,7,900,859
1538,7,901,860
1539,7,726,861
1540,1,902,862
1541,2,428,365
1542,2,578,863
1543,2,413,864
1544,4,55,302
1545,4,95,865
1546,7,894,866
1547,2,578,632
1548,2,578,867
1549,1,250,1
1550,2,903,868
1551,2,904,868
1552,19,570,471
1553,2,905,869
1554,1,906,870
1555,0,1,871
1556,4,571,503
1557,2,578,872
1558,8,907,873
1559,4,571,508
1560,2,908,874
1561,4,121,0
1562,2,909,875
1563,1,441,149
1564,7,910,83
1565,0,911,77
1566,7,716,876
1567,10,67,438
1568,4,333,4
1569,4,339,4
1570,4,339,4
1571,4,339,4
1572,5,195,392
1573,5,485,877
1574,0,358,6
1575,2,912,878
1576,7,52,760
1577,7,363,143
1578,0,913,302
1579,5,496,591
1580,10,914,549
1581,10,915,879
1582,2,793,880
1583,4,20,270
1584,4,34,881
1585,5,331,24
1586,5,274,592
1587,7,651,475
1588,7,114,485
1589,1,154,882
1590,4,864,883
1591,1,576,884
1592,4,916,885
1593,2,917,886
1594,2,918,760
1595,2,793,887
1596,1,863,888
1597,2,793,880
1598,2,919,458
1599,1,77,293
1600,4,864,889
1601,4,2,889
1602,7,124,71
1603,1,920,890
1604,4,67,891
1605,4,921,892
1606,1,922,893
1607,4,922,893
1608,4,923,894
1609,0,441,148
1610,4,924,301
1611,4,925,895
1612,4,926,565
1613,18,590,896
1614,7,189,144
1615,1,240,897
1616,1,407,898
1617,1,927,899
1618,0,928,900
1619,4,757,901
1620,7,19,527
1621,0,929,19
1622,4,930,902
1623,0,931,11
1624,4,932,674
1625,4,933,787
1626,4,194,296
1627,7,934,903
1628,5,531,458
1629,4,531,635
1630,15,531,904
1631,7,531,905
1632,7,531,200
1633,5,531,906
1634,7,531,574
1635,7,531,458
1636,4,531,907
1637,5,531,908
1638,5,531,909
1639,9,531,910
1640,7,935,911
1641,18,229,676
1642,0,121,119
1643,5,331,153
1644,4,936,912
1645,0,733,8
1646,5,531,465
1647,7,531,913
1648,15,531,914
1649,15,531,915
1650,4,531,483
1651,12,531,455
1652,1,531,916
1653,12,531,917
1654,5,531,918
1655,12,531,919
1656,5,531,920
1657,7,531,921
1658,5,531,922
1659,5,91,730
1660,7,937,819
1661,4,938,923
1662,1,406,924
1663,4,939,925
